Artist,Print title,Print ID,Journal title,Address of Journal,Author/Critic,"Bio ID (for column E) ** again this is redundant, just specify either a name or id in the previous column and the db can handle the association",Article title,Year of publication,Volume number,Page number,Notes,URL
Francine Felsenthal,A Lonesome George,258,Art News,,Irvin Haas,"15, 58",Check List: New Prints,December 1946,45,10,,
Francine Felsenthal,Portrait of John Scott,255,Art News,,Irvin Haas,"15, 58",Check List: New Prints,October 1947,46,10,,
Sue Fuller,Hen,552,Arts Magazine,,,49,Village Graphic Winners,"December 15, 1946",21,9,,
Sue Fuller,Hen,552,Arts & Activities,,Harry A. Broadd,"49, 62",The String Constructions of Sue Fuller,April 1982,91,32-33,,
Sue Fuller,Tides of the City,581,Craft Horizons,,Sue Fuller,49,Twentieth Century Cat's Cradle,April  1954,14,22-23,,
Sue Fuller,Concerto,548,Craft Horizons,,Sue Fuller,49,Twentieth Century Cat's Cradle,April  1954,14,23,,
Sue Fuller,Hen,552,Print,,Karl Kup,"49, 64",Sue Fuller,1947,5,70,,
Terry Haass,Reconstruction,621,Art News,,B.H. ,"51, 65",Terry Haas [sic]Terry Haas [sic],April 1951,50,47,,
Terry Haass,Projection,619,Art News,,B.H. ,51. 65,Terry Haas [sic]Terry Haas [sic],April 1951,50,47,,
Worden Day,Primavera,656,Art News,,Irvin Haas,"55, 58",Check List: New Prints,January 1950,48,60,,
Worden Day,Terra Incognita,663,Art News,,Irvin Haas,"55, 58",Check List: New Prints,January 1950,48,60,,
Marjean Kettunen,Forms in Space,377,Art News,,Irvin Haas,"37, 58",Check List: New Prints,January 1950,48,60,,
Alice Trumbull Mason,Suspension,22,Art News,,Irvin Haas,"1, 58",Abstractions,July 1946,45,10,,
Perle Fine,Omnipotent One,496,Art News,,Irvin Haas,"43, 58",Abstractions,July 1946,45,10,,
Alice Trumbull Mason,Talisman,27,Art News,,Barbara Guest,"1, 66",Alice Trumbull Mason at Wittenborn,October 1952,51,63,,
Alice Trumbull Mason,Twilight,31,Art News,,Barbara Guest,"1, 66",Alice Trumbull Mason at Wittenborn,October 1952,51,63,,
Vevean Oviette,Head--A Study,629,Art News,,Irvin Haas,"52, 58",Check List: New Prints,November 1949,48,60,,
Anne Ryan,The Captive,116,Art News,,Irvin Haas,"5, 58",Check List: New Prints,June 1946,45,68,,
Anne Ryan,Woman with a Flower,144,Art News,,Irvin Haas,"5, 58",Check List: New Prints,June 1946,45,68,,
Sue Fuller,Snake,571,New York Times,,Stuart Preston,"49, 67",American Graphic Art,"July 8, 1951",,66,,
Pennerton West,Portfolio of 7 etchings,488,Art News,,Irvin Haas,"42, 58",Check List: New Prints,January 1952,50,53,,
Pennerton West,Cock of the Walk,489,Art News,,Irvin Haas,"42, 58",Check List: New Prints,October 1947,46,10,,
Pennerton West,Eclipse,477,Art News,,Irvin Haas,"42, 58",Check List: New Prints,October 1947,46,10,,
Pennerton West,Eskootal,478,Art News,,Irvin Haas,"42, 58",Check List: New Prints,October 1947,46,10,,
Pennerton West,Myself,486,Art News,,Irvin Haas,"42, 58",Check List: New Prints,October 1947,46,10,,
Pennerton West,Swannee,487,Art News,,Irvin Haas,"42, 58",Check List: New Prints,October 1947,46,10,,
Irene Aronson,Lady Clown,294,Art News,,Irvin Haas,"21, 58",Young Primitives,May 1950,49,13,,
Irene Aronson,Clown,281,Art News,,Irvin Haas,"21, 58",Young Primitives,May 1950,49,13,,
Anne Wienholt,Man's Friend,670,Art News,,Irvin Haas,"6, 58",Young Primitives,May 1950,49,13,,
